TITLE	n-GaN
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	19/11/21
TIME	17:01:56
SPECTROMETER/DATA SYSTEM	
RESOLUTION	
DELTAX	-1
XUNITS	NANOMETERS
YUNITS	TRANSMITTANCE
FIRSTX	 2500.0000
LASTX	  300.0000
NPOINTS	    2201
FIRSTY	    83.45750
MAXY	    86.04787
MINY	     0.00617
XYDATA
2500.0000	83.4575
2499.0000	83.6671
2498.0000	84.0225
2497.0000	84.0876
2496.0000	84.0352
2495.0000	84.0574
2494.0000	84.325
2493.0000	84.4031
2492.0000	84.3339
2491.0000	84.4174
2490.0000	84.6021
2489.0000	84.7448
2488.0000	84.7031
2487.0000	84.7672
2486.0000	84.9242
2485.0000	84.9815
2484.0000	85.0374
2483.0000	85.0337
2482.0000	85.1936
2481.0000	85.1522
2480.0000	85.224
2479.0000	85.1757
2478.0000	85.2154
2477.0000	85.1622
2476.0000	85.0642
2475.0000	85.0718
2474.0000	85.1285
2473.0000	85.0469
2472.0000	84.9663
2471.0000	85.0347
2470.0000	85.0304
2469.0000	85.1236
2468.0000	84.9739
2467.0000	84.9574
2466.0000	85.0268
2465.0000	84.9267
2464.0000	84.8412
2463.0000	84.7185
2462.0000	84.7693
2461.0000	84.5587
2460.0000	84.4164
2459.0000	84.3923
2458.0000	84.3262
2457.0000	84.1944
2456.0000	83.9693
2455.0000	83.9568
2454.0000	83.9085
2453.0000	83.7221
2452.0000	83.6211
2451.0000	83.5692
2450.0000	83.4755
2449.0000	83.3016
2448.0000	83.1744
2447.0000	83.09
2446.0000	82.9593
2445.0000	82.8382
2444.0000	82.693
2443.0000	82.6772
2442.0000	82.5031
2441.0000	82.1997
2440.0000	82.0362
2439.0000	81.9156
2438.0000	81.5975
2437.0000	81.3689
2436.0000	81.2227
2435.0000	81.1946
2434.0000	80.9664
2433.0000	80.7742
2432.0000	80.7732
2431.0000	80.6388
2430.0000	80.3779
2429.0000	80.1541
2428.0000	80.0315
2427.0000	79.9085
2426.0000	79.6755
2425.0000	79.4677
2424.0000	79.3037
2423.0000	79.0654
2422.0000	78.8382
2421.0000	78.6882
2420.0000	78.5546
2419.0000	78.3119
2418.0000	78.0817
2417.0000	77.9952
2416.0000	77.8891
2415.0000	77.6782
2414.0000	77.4074
2413.0000	77.3118
2412.0000	77.142
2411.0000	76.9112
2410.0000	76.6999
2409.0000	76.5733
2408.0000	76.4417
2407.0000	76.2394
2406.0000	76.1323
2405.0000	76.0199
2404.0000	75.9053
2403.0000	75.6915
2402.0000	75.5405
2401.0000	75.4819
2400.0000	75.2941
2399.0000	75.0805
2398.0000	74.9844
2397.0000	74.9042
2396.0000	74.7152
2395.0000	74.4493
2394.0000	74.3944
2393.0000	74.322
2392.0000	74.0821
2391.0000	73.9693
2390.0000	73.869
